homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,income,michigan_index,tbill,cci,smp500,date,consumpton
-0.056818181818181816,-0.011235955056179775,-0.05952380952380952,-0.03333333333333333,-0.01639344262295082,-0.02040816326530612,-0.3392857142857143,-0.021739130434782608,0.0,0.034482758620689655,-0.06741573033707865,-0.06666666666666667,-0.013333333333333334,-0.14457831325301204,-0.16279069767441862,-0.07526881720430108,0.05813953488372093,-0.1111111111111111,0.02666666666666667,-0.0625,-0.14102564102564102,-0.014285714285714285,-0.19753086419753085,-0.09302325581395349,-0.011111111111111112,-0.02040816326530612,-0.07142857142857142,0.0,0.0,-0.1411764705882353,-0.13253012048192772,-0.03296703296703297,0.0410958904109589,0.06451612903225806,-0.031914893617021274,0.010638297872340425,-0.04477611940298507,-0.10714285714285714,-0.07608695652173914,-0.07526881720430108,0.05194805194805195,-0.047619047619047616,-0.05952380952380952,-0.043478260869565216,-0.020833333333333332,-0.12195121951219512,-0.020618556701030927,0.01639344262295082,0.029597217289989857,-0.08691099476439787,0.6223175803569777,-0.0032080455683113117,0.042445842186798845,01jan2005,3.39059
-0.03409090909090909,-0.06593406593406594,-0.10588235294117647,-0.011627906976744186,-0.05,-0.03296703296703297,-0.31746031746031744,-0.021052631578947368,0.03225806451612903,0.03508771929824561,-0.11764705882352941,-0.08139534883720931,0.05128205128205128,0.0,-0.14285714285714285,-0.07608695652173914,0.012345679012345678,-0.19444444444444445,-0.10810810810810811,-0.0875,-0.1686746987951807,-0.09090909090909091,-0.20270270270270271,-0.08536585365853659,-0.08433734939759036,0.02,-0.08108108108108109,0.012345679012345678,-0.043010752688172046,-0.08045977011494253,-0.05747126436781609,-0.03614457831325301,0.05128205128205128,0.04838709677419355,0.0,0.0,0.0,-0.13414634146341464,-0.05555555555555555,-0.07692307692307693,0.039473684210526314,-0.0625,-0.125,-0.022222222222222223,-0.02040816326530612,-0.11627906976744186,-0.03125,0.015151515151515152,0.029232224606818447,-0.0031881403440625075,0.6338582637795275,-0.0036235873415486975,0.048737205051511995,01feb2005,3.6485701
-0.10714285714285714,-0.10344827586206896,0.05154639175257732,-0.045454545454545456,-0.06779661016949153,-0.05952380952380952,-0.07575757575757576,-0.043478260869565216,0.045454545454545456,0.037037037037037035,-0.08433734939759036,-0.11904761904761904,0.0,-0.234375,-0.125,-0.06896551724137931,0.01282051282051282,-0.13636363636363635,-0.10126582278481013,-0.060240963855421686,-0.11538461538461539,-0.030303030303030304,-0.14473684210526316,-0.047619047619047616,-0.09523809523809523,0.04081632653061224,0.012658227848101266,-0.01282051282051282,0.0,-0.10227272727272728,-0.16279069767441862,-0.0641025641025641,0.024390243902439025,0.015873015873015872,-0.08333333333333333,-0.010638297872340425,0.07142857142857142,-0.1518987341772152,-0.03409090909090909,-0.054945054945054944,0.0,-0.12048192771084337,-0.12345679012345678,-0.05952380952380952,-0.043478260869565216,-0.11904761904761904,0.020618556701030927,0.04918032786885246,0.02894423748802105,-0.03455729016322446,0.6569343065693432,-0.004235186044962584,0.046061714905259135,01mar2005,3.2859099
-0.11494252873563218,-0.10843373493975904,-0.11235955056179775,-0.11904761904761904,-0.058823529411764705,-0.12345679012345678,-0.15151515151515152,-0.08695652173913043,0.03076923076923077,-0.09615384615384616,-0.14864864864864866,-0.17647058823529413,0.013157894736842105,-0.21428571428571427,-0.2222222222222222,-0.11627906976744186,-0.04,-0.23809523809523808,0.020833333333333332,-0.1,-0.21518987341772153,-0.09375,-0.1527777777777778,-0.13924050632911392,-0.10227272727272728,-0.12941176470588237,-0.05128205128205128,-0.05333333333333334,-0.08045977011494253,-0.14942528735632185,-0.1686746987951807,-0.12,0.011764705882352941,-0.038461538461538464,-0.10144927536231885,-0.053763440860215055,-0.08064516129032258,-0.17721518987341772,-0.06976744186046512,-0.08791208791208792,-0.05128205128205128,-0.0989010989010989,-0.2345679012345679,-0.11392405063291139,-0.053763440860215055,-0.17647058823529413,-0.07526881720430108,0.031746031746031744,0.02846842866406754,-0.0741163081225647,0.6618705035971223,-0.004413329030561642,0.04283182780827243,01apr2005,3.9547
-0.011363636363636364,-0.06896551724137931,-0.06896551724137931,-0.056179775280898875,-0.0625,-0.07692307692307693,-0.030303030303030304,-0.045454545454545456,0.01694915254237288,0.017857142857142856,-0.0125,-0.16666666666666666,0.04,-0.15789473684210525,-0.17567567567567569,-0.07407407407407407,0.0379746835443038,-0.11764705882352941,0.0,-0.1518987341772152,-0.07692307692307693,-0.046153846153846156,-0.07894736842105263,-0.05952380952380952,-0.06521739130434782,-0.02631578947368421,-0.09333333333333334,-0.0410958904109589,-0.011494252873563218,-0.06976744186046512,-0.04819277108433735,-0.09333333333333334,0.0125,0.020833333333333332,-0.043478260869565216,0.0,-0.047619047619047616,-0.14102564102564102,0.07,-0.03333333333333333,-0.02531645569620253,-0.034482758620689655,-0.1111111111111111,-0.0375,-0.045454545454545456,-0.0975609756097561,-0.010869565217391304,0.04838709677419355,0.027485303002261808,-0.03797462513291997,0.6408450577762345,-0.002976092718725462,0.05943759966428868,01may2005,3.2694099
-0.03296703296703297,-0.13793103448275862,-0.07228915662650602,0.010416666666666666,-0.016666666666666666,-0.11688311688311688,-0.06451612903225806,-0.03571428571428571,0.03508771929824561,0.05357142857142857,-0.07792207792207792,-0.1780821917808219,0.04,-0.12962962962962962,-0.2191780821917808,-0.10126582278481013,-0.024390243902439025,-0.1267605633802817,-0.042105263157894736,-0.037037037037037035,-0.10666666666666667,-0.07936507936507936,-0.10810810810810811,-0.15294117647058825,-0.09302325581395349,0.025974025974025976,-0.0821917808219178,-0.057971014492753624,-0.056818181818181816,-0.04597701149425287,0.011111111111111112,-0.06578947368421052,0.08108108108108109,0.0,-0.13846153846153847,-0.031914893617021274,-0.03278688524590164,-0.11392405063291139,-0.047619047619047616,-0.06818181818181818,-0.0547945205479452,-0.023809523809523808,-0.16049382716049382,-0.08333333333333333,-0.07142857142857142,-0.14102564102564102,-0.053763440860215055,0.06451612903225806,0.02901255295973066,0.004166687500000006,0.5723905723905724,-0.0018726387227135201,0.04238120420034752,01jun2005,4.682919999999999
0.0,-0.08695652173913043,0.0,-0.05263157894736842,-0.05,-0.1411764705882353,-0.017857142857142856,-0.0975609756097561,0.016666666666666666,0.06896551724137931,-0.08860759493670886,-0.15584415584415584,0.04,-0.16129032258064516,-0.21621621621621623,-0.0875,-0.023529411764705882,-0.012658227848101266,-0.041666666666666664,-0.022727272727272728,-0.0379746835443038,-0.078125,-0.06172839506172839,-0.06896551724137931,-0.0989010989010989,0.0,0.038461538461538464,-0.02702702702702703,-0.053763440860215055,-0.06593406593406594,0.022222222222222223,-0.07407407407407407,0.03896103896103896,-0.03636363636363636,-0.136986301369863,0.0,-0.015625,-0.1111111111111111,-0.02197802197802198,-0.03296703296703297,-0.05714285714285714,-0.07228915662650602,-0.10465116279069768,-0.023255813953488372,-0.09411764705882353,-0.10256410256410256,-0.043478260869565216,0.046875,0.026543543645994767,-0.002072507772020686,0.5869565217391305,-0.003877898858593911,0.10732639425963846,01jul2005,4.673399900000001
-0.02127659574468085,-0.05434782608695652,0.08333333333333333,-0.020833333333333332,0.0,-0.08888888888888889,0.04918032786885246,-0.046511627906976744,0.057971014492753624,0.01694915254237288,-0.07894736842105263,-0.1,0.05333333333333334,-0.11864406779661017,-0.20253164556962025,-0.08433734939759036,0.022222222222222223,-0.13414634146341464,0.022222222222222223,0.1,-0.06329113924050633,-0.03076923076923077,-0.1282051282051282,-0.05263157894736842,-0.043478260869565216,-0.012345679012345678,0.13043478260869565,0.036585365853658534,0.01,-0.021505376344086023,0.03260869565217391,-0.05952380952380952,0.0625,0.14925373134328357,-0.06578947368421052,-0.030927835051546393,0.029850746268656716,-0.07692307692307693,0.0,0.01098901098901099,0.05333333333333334,-0.011904761904761904,-0.08139534883720931,0.0,-0.0898876404494382,-0.1,-0.010526315789473684,0.09090909090909091,0.024223818132654038,-0.07631878959189203,0.5697674543672252,-0.009475257273376916,0.09513000581809831,01aug2005,3.9149799
0.08333333333333333,-0.12,0.13,-0.07058823529411765,0.0,-0.10126582278481013,0.017543859649122806,-0.046511627906976744,-0.01694915254237288,0.05263157894736842,-0.0136986301369863,-0.0379746835443038,0.056338028169014086,-0.03225806451612903,-0.17567567567567569,0.021505376344086023,0.036585365853658534,-0.125,-0.0125,0.09195402298850575,-0.06097560975609756,-0.04918032786885246,-0.1791044776119403,-0.047058823529411764,-0.075,-0.05555555555555555,0.25,-0.012987012987012988,-0.02197802197802198,-0.047058823529411764,-0.039473684210526314,-0.07894736842105263,0.013333333333333334,0.03125,-0.028169014084507043,-0.036585365853658534,-0.01639344262295082,-0.0989010989010989,-0.025,-0.036585365853658534,-0.056338028169014086,-0.0625,-0.2222222222222222,-0.08433734939759036,-0.09523809523809523,-0.060240963855421686,-0.06593406593406594,0.06666666666666667,0.019936525335329993,-0.22496741937666004,0.5175438737560272,-0.015486127197715352,0.0929599292844354,01sep2005,2.90731
0.1702127659574468,-0.0547945205479452,0.06521739130434782,0.0,0.0,-0.04819277108433735,0.10294117647058823,-0.03409090909090909,0.030303030303030304,0.017857142857142856,-0.13157894736842105,-0.14814814814814814,0.08,-0.07407407407407407,-0.19444444444444445,-0.045454545454545456,0.025,-0.078125,-0.04395604395604396,-0.07042253521126761,0.08536585365853659,-0.031746031746031744,-0.13333333333333333,-0.0945945945945946,-0.012195121951219513,0.013333333333333334,0.07142857142857142,-0.010869565217391304,-0.022727272727272728,-0.06493506493506493,0.013333333333333334,-0.05128205128205128,0.025974025974025976,0.06493506493506493,-0.013888888888888888,0.04938271604938271,0.04477611940298507,-0.11494252873563218,-0.046511627906976744,-0.023809523809523808,0.0,0.0125,-0.08695652173913043,0.0,-0.09411764705882353,-0.07228915662650602,0.010752688172043012,0.09523809523809523,0.026259866596666275,-0.23584906613945011,0.5256064690026954,-0.016952436248626065,0.06363658958915,01oct2005,3.00475
